id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,mpn,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3
lap-adv-cn4058,"Advance CN4058 2 en 1 · N4020 · 8GB · 128GB · 10.1"" táctil","Notebook 2 en 1 con teclado desmontable, ideal para estudio y movilidad. | Intel Celeron N4020 • 8GB LPDDR4 • 128GB eMMC • 10.1"" 800×1280 táctil • Intel UHD Graphics 600 • Wi-Fi 802.11ac · BT 5.0 • Webcam frontal/trasera 2.0MP • Micro HDMI • USB 3.0 x1, USB 2.0 x1 • Lector MicroSD • Batería 3000 mAh • Windows 11 Home • 1.11 kg | Garantía 12 meses. Incluye teclado desmontable.",in stock,new,708.47 PEN,https://grupotecnolap.com/producto.html?id=lap-adv-cn4058,https://grupotecnolap.com/img/laptops/adv-cn4058-n4020-8gb-128gb-10p1-1.jpg,"https://grupotecnolap.com/img/laptops/adv-cn4058-n4020-8gb-128gb-10p1-2.jpg,https://grupotecnolap.com/img/laptops/adv-cn4058-n4020-8gb-128gb-10p1-3.jpg",Advance,ADV-CN4058,Electronics > Computers > Laptops,laptops,consumo,,452336,NBADVCN4058BK-S
lap-len-v15g2-n4500,"Lenovo V15 G2 IJL • 15.6"" FHD • Celeron N4500 • 8GB • 256GB","Notebook 15.6"" para oficina/estudio, Wi-Fi 6 y SSD NVMe. | Intel Celeron N4500 (2 núcleos, 1.1 / 2.8 GHz) • 8GB DDR4-2933 SODIMM • 256GB SSD M.2 2242 NVMe • 15.6"" FHD (1920×1080) TN antirreflejo • Intel UHD Graphics • Wi-Fi 6 802.11ax 2×2, BT 5.2, LAN 1Gbps • Puertos: USB-C 3.2 Gen1 (datos), USB-A 3.2 Gen1, USB-A 2.0, HDMI 1.4b, RJ45, audio/mic combo • Cámara 720p con obturador, micrófono dual • Batería 38 Wh • 1.7 kg • Teclado Español (LA), no retroiluminado • TPM 2.0, Kensington Nano Slot • Color: Negro • Sin sistema operativo | Garantía 12 meses. No incluye sistema operativo.",in stock,new,919.22 PEN,https://grupotecnolap.com/producto.html?id=lap-len-v15g2-n4500,https://grupotecnolap.com/img/laptops/len-v15g2-n4500-8gb-256gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/len-v15g2-n4500-8gb-256gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/len-v15g2-n4500-8gb-256gb-15p6-3.jpg",Lenovo,82QY00SALM,Electronics > Computers > Laptops,laptops,consumo,,471298,NBLEN82QY00SALM
lap-hp-250g10-n305-8-256,"HP 250 G10 15.6"" • Core i3-N305 • 8GB • 256GB","Línea comercial 15.6"". Wi-Fi 6, teclado español. Ideal para oficina/estudio. | Intel Core i3-N305 (8 núcleos) 1.80 / 3.80 GHz • 8GB DDR4-3200 SODIMM (1×8GB, 2 ranuras, máx. 32GB) • 256GB SSD M.2 PCIe NVMe • 15.6"" HD SVA 1366×768 antirreflejo • Intel UHD Graphics • Wi-Fi 6 (802.11ax 2×2) • BT 5.3 • LAN 1GbE • Puertos: 2×USB-A 3.2 Gen1, 1×USB-C 3.2 Gen1 (datos), HDMI 1.4b, RJ-45, combo audio • Cámara 720p con micrófono • Batería 41 Wh • 1.52 kg • FreeDOS 3.0 (sin SO) • TPM 2.0 • Color: gris | Garantía del representante en Perú.",in stock,new,1183.78 PEN,https://grupotecnolap.com/producto.html?id=lap-hp-250g10-n305-8-256,https://grupotecnolap.com/img/laptops/hp-250g10-i3n305-8gb-256gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/hp-250g10-i3n305-8gb-256gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/hp-250g10-i3n305-8gb-256gb-15p6-3.jpg",HP,B83U6AT#ABM,Electronics > Computers > Laptops,laptops,empresarial,#PROMOCIONU2225,,NBHPB83U6AT
lap-len-v15g4-i3-1315u,"Lenovo V15 G4 IRU • 15.6"" FHD • Core i3-1315U • 8GB • 256GB","Línea empresarial 15.6"" FHD, Wi-Fi 6 y SSD NVMe. Ideal oficina/estudios. | Intel Core i3-1315U (1.2 / 4.5 GHz) • 8GB DDR4-3200 SODIMM (ampliable a 16GB) • 256GB SSD M.2 2242 PCIe 4.0 x4 NVMe • 15.6"" FHD (1920×1080) TN antirreflejo • Intel UHD Graphics • Wi-Fi 6 802.11ax 2×2 • BT 5.2 • LAN 1GbE • Puertos: USB-C 3.2 Gen1 (datos/DP 1.2/PD 20V), USB-A 3.2 Gen1, USB-A 2.0, HDMI 1.4b, RJ-45, audio/mic 3.5mm • Cámara 720p con obturador • Touchpad Mylar multi-touch • Altavoces estéreo 1.5W ×2 • Dolby Audio • Batería 38 Wh • 1.65 kg • Teclado Español (LA) • Color: Iron Grey • Sin sistema operativo | Garantía del representante en Perú. No incluye sistema operativo.",in stock,new,1192.74 PEN,https://grupotecnolap.com/producto.html?id=lap-len-v15g4-i3-1315u,https://grupotecnolap.com/img/laptops/len-v15g4-i3-1315u-8gb-256gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/len-v15g4-i3-1315u-8gb-256gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/len-v15g4-i3-1315u-8gb-256gb-15p6-3.jpg",Lenovo,83A100ELLM,Electronics > Computers > Laptops,laptops,empresarial,#PROMOCIONU1650,470171,NBLEN83A100ELLM
lap-len-v15g4-i3-1315u-512,"Lenovo V15 G4 IRU • 15.6"" FHD • Core i3-1315U • 8GB • 512GB","Notebook 15.6"" para oficina/estudio. Wi-Fi 6, SSD NVMe y teclado español. | Intel Core i3-1315U (1.2 / 4.5 GHz, 10MB cache) • 8GB DDR4-3200 SODIMM (expansión máx. 16GB) • 512GB SSD M.2 NVMe • 15.6"" FHD (1920×1080) TN antirreflejo • Intel UHD Graphics • Wi-Fi 6 802.11ax 2×2 • BT 5.2 • LAN 1GbE • Puertos: USB-C 3.2 Gen1 (datos/PD/DP1.2), USB-A 3.2 Gen1, USB-A 2.0, HDMI 1.4b, RJ-45, combo audio • Webcam 720p con obturador • parlantes estéreo • Batería 38 Wh • 1.65 kg • Teclado Español (LA) • Color: Iron Grey • Sin sistema operativo | Garantía del representante en Perú. No incluye sistema operativo.",in stock,new,1331.75 PEN,https://grupotecnolap.com/producto.html?id=lap-len-v15g4-i3-1315u-512,https://grupotecnolap.com/img/laptops/len-v15g4-i3-1315u-8gb-512gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/len-v15g4-i3-1315u-8gb-512gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/len-v15g4-i3-1315u-8gb-512gb-15p6-3.jpg",Lenovo,83A100EMLM,Electronics > Computers > Laptops,laptops,empresarial,#PROMOCIONU2277,470173,NBLEN83A100EMLM
lap-len-idea3-15ian8-i3n305-512,"Lenovo IdeaPad Slim 3 15IAN8 • 15.6"" FHD • Core i3-N305 • 8GB • 512GB","Notebook 15.6"" delgado para uso diario; Wi-Fi 6 y SSD NVMe. | Intel Core i3-N305 (8 núcleos) 1.8 / 3.8 GHz, 6MB cache • 8GB LPDDR5-4800 (soldada) • 512GB SSD M.2 PCIe 4.0 x4 NVMe • 15.6"" FHD (1920×1080) TN antirreflejo • Intel UHD Graphics • Wi-Fi 6 802.11ax 2×2 • BT 5.1 • Puertos: USB-C 3.2 Gen1 (datos/PD/DP1.2), 2×USB-A 3.2 Gen1, HDMI, lector de tarjetas SD, combo audio 3.5mm • Cámara web FHD 1080p con obturador • micrófonos 2× array • Altavoces estéreo 1.5W ×2 • Dolby Audio • Batería 47 Wh • 1.55 kg • Teclado Español (LA) • Color Frost Blue (azul) • Sin sistema operativo | Garantía 12 meses del representante. No incluye sistema operativo.",in stock,new,1161.36 PEN,https://grupotecnolap.com/producto.html?id=lap-len-idea3-15ian8-i3n305-512,https://grupotecnolap.com/img/laptops/len-idea3-15ian8-i3n305-8gb-512gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/len-idea3-15ian8-i3n305-8gb-512gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/len-idea3-15ian8-i3n305-8gb-512gb-15p6-3.jpg",Lenovo,82XB003MLM,Electronics > Computers > Laptops,laptops,consumo,#PROMOCIONU1605,421960,NBLEN82XB003MLM
lap-hp-250g10-i5-1334u-16-512,"HP 250 G10 15.6"" • Core i5-1334U • 16GB • 512GB","Línea comercial 15.6"" con Wi-Fi 6, teclado español y SSD NVMe. | Intel Core i5-1334U (1.30 / 4.60 GHz, 10 núcleos) • 16GB DDR4-3200 SODIMM (1×16GB, 2 ranuras, máx. 32GB) • 512GB SSD M.2 PCIe NVMe • Pantalla 15.6"" HD SVA 1366×768 antirreflejo • Intel UHD Graphics • Wi-Fi 6 (802.11ax 2×2) • BT 5.3 • LAN 1GbE • Puertos: 2×USB-A 3.2 Gen1, 1×USB-C 3.2 Gen1 (datos), HDMI 1.4b, RJ-45, combo audio • Cámara 720p con micrófono • Audio HD (Realtek ALC3247) • Batería 41 Wh • 1.52 kg • Teclado Español (LA) • FreeDOS 3.0 (sin sistema operativo) • TPM 2.0 • Color: gris | Garantía del representante en Perú. FreeDOS 3.0.",in stock,new,1968.48 PEN,https://grupotecnolap.com/producto.html?id=lap-hp-250g10-i5-1334u-16-512,https://grupotecnolap.com/img/laptops/hp-250g10-i5-1334u-16gb-512gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/hp-250g10-i5-1334u-16gb-512gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/hp-250g10-i5-1334u-16gb-512gb-15p6-3.jpg",HP,B5UW7AT#ABM,Electronics > Computers > Laptops,laptops,empresarial,#PROMOCIONU2227,474303,NBHPB5UW7ATABM
lap-hp-250g10-i5-1334u-8-512,"HP 250 G10 15.6"" • Core i5-1334U • 8GB • 512GB","Línea comercial 15.6"". Wi-Fi 6, teclado español. Ideal para oficina/estudio. | Intel Core i5-1334U (10 núcleos / 12 hilos) 1.30 / 4.60 GHz, 12MB cache • 8GB DDR4-3200 SODIMM (1×8GB, 2 ranuras, máx. 32GB) • 512GB SSD M.2 PCIe NVMe • Pantalla 15.6"" HD SVA 1366×768 antirreflejo • Intel UHD Graphics • Wi-Fi 6 (802.11ax 2×2) • BT 5.3 • LAN 1GbE • Puertos: 2×USB-A 3.2 Gen1, 1×USB-C 3.2 Gen1 (datos), HDMI 1.4b, RJ-45, combo audio 3.5mm • Cámara 720p con micrófono • Touchpad • Batería 41 Wh • 1.52 kg • Teclado Español (LA) • FreeDOS 3.0 (sin sistema operativo) • TPM 2.0 • Color: Gris | Garantía del representante en Perú.",in stock,new,1811.54 PEN,https://grupotecnolap.com/producto.html?id=lap-hp-250g10-i5-1334u-8-512,https://grupotecnolap.com/img/laptops/hp-250g10-i5-1334u-8gb-512gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/hp-250g10-i5-1334u-8gb-512gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/hp-250g10-i5-1334u-8gb-512gb-15p6-3.jpg",HP,B5UU9AT#ABM,Electronics > Computers > Laptops,laptops,empresarial,#PROMOCIONU2226,474970,NBHPB5UU9ATABM
lap-len-v15g4-i5-13420h-256,"Lenovo V15 G4 IRU • 15.6"" FHD • Core i5-13420H • 8GB • 256GB","Línea empresarial 15.6"" FHD; ideal para oficina. Wi-Fi 6 y SSD NVMe. | Intel Core i5-13420H (2.1 / 4.6 GHz, 12 MB caché) • 8GB DDR4-3200 SODIMM (ampliable a 16GB) • 256GB SSD M.2 2242 PCIe 4.0 x4 NVMe • 15.6"" FHD (1920×1080) TN antirreflejo • Intel UHD Graphics • Wi-Fi 6 802.11ax 2×2 • BT 5.2 • LAN 1GbE • Puertos: USB-C 3.2 Gen1 (datos/PD/DP 1.2), USB-A 3.2 Gen1, USB-A 2.0, HDMI 1.4b, RJ-45, combo audio 3.5mm • Cámara 720p con obturador • micrófono • Altavoces estéreo 1.5W×2 • Dolby Audio • Batería 38 Wh • 1.65 kg • Teclado Español (LA) • Color Iron Grey • Sin sistema operativo | Garantía del representante en Perú. No incluye sistema operativo.",in stock,new,1744.28 PEN,https://grupotecnolap.com/producto.html?id=lap-len-v15g4-i5-13420h-256,https://grupotecnolap.com/img/laptops/len-v15g4-i5-13420h-8gb-256gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/len-v15g4-i5-13420h-8gb-256gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/len-v15g4-i5-13420h-8gb-256gb-15p6-3.jpg",Lenovo,83A100GKLM,Electronics > Computers > Laptops,laptops,empresarial,#PROMOCIONU2278,441112,NBLEN83A100GKLM
lap-len-v15g4-i5-13420h-512,"Lenovo V15 G4 IRU • 15.6"" FHD • Core i5-13420H • 8GB • 512GB","Línea empresarial 15.6"" FHD con Wi-Fi 6, SSD NVMe y teclado español. Ideal para oficina exigente. | Intel Core i5-13420H (2.1 / 4.6 GHz, 12 MB cache) • 8GB DDR4-3200 (dual-channel capable, expansión máx. 16GB) • 512GB SSD M.2 2242 PCIe 4.0 x4 NVMe • 15.6"" FHD (1920×1080) TN antirreflejo • Intel UHD Graphics • Wi-Fi 6 802.11ax 2×2 • BT 5.2 • LAN 1GbE • Puertos: USB-C 3.2 Gen1 (datos/PD 20V/DP1.2), USB-A 3.2 Gen1, USB-A 2.0, HDMI 1.4b, RJ-45, combo audio 3.5mm • Cámara 720p con obturador • altavoces 1.5W ×2 (Dolby Audio) • Batería 38 Wh • 1.65 kg • Teclado Español (LA) • Color: Iron Grey • Sin sistema operativo | Garantía del representante en Perú. No incluye sistema operativo.",in stock,new,1833.96 PEN,https://grupotecnolap.com/producto.html?id=lap-len-v15g4-i5-13420h-512,https://grupotecnolap.com/img/laptops/len-v15g4-i5-13420h-8gb-512gb-15p6-1.jpg,"https://grupotecnolap.com/img/laptops/len-v15g4-i5-13420h-8gb-512gb-15p6-2.jpg,https://grupotecnolap.com/img/laptops/len-v15g4-i5-13420h-8gb-512gb-15p6-3.jpg",Lenovo,83A100GJLM,Electronics > Computers > Laptops,laptops,empresarial,#PROMOCIONU1667,441109,NBLEN83A100GJLM
